State,Residents,Total Deaths,Deaths,1 in X
Mississippi,"2,961,279","9,214",1 in 321,321
New Jersey,"9,288,994","27,148",1 in 342,342
Louisiana,"4,657,757","13,366",1 in 348,348
New York,"20,201,249","54,685",1 in 369,369
Arizona,"7,151,502","19,360",1 in 369,369
Massachusetts,"7,029,917","18,424",1 in 382,382
Alabama,"5,024,279","13,048",1 in 385,385
Rhode Island,"1,097,379","2,810",1 in 391,391
Arkansas,"3,011,524","7,395",1 in 407,407
South Dakota,"886,667","2,096",1 in 423,423
Florida,"21,538,187","50,817",1 in 424,424
Connecticut,"3,605,944","8,447",1 in 427,427
Georgia,"10,711,908","24,460",1 in 438,438
South Carolina,"5,118,425","11,664",1 in 439,439
Indiana,"6,785,528","15,046",1 in 451,451
Pennsylvania,"13,002,700","28,768",1 in 452,452
New Mexico,"2,117,522","4,662",1 in 454,454
Nevada,"3,104,614","6,821",1 in 455,455
Michigan,"10,077,331","21,941",1 in 459,459
Oklahoma,"3,959,353","8,518",1 in 465,465
Illinois,"12,812,508","27,113",1 in 473,473
Tennessee,"6,910,840","14,289",1 in 484,484
Texas,"29,145,505","59,980",1 in 486,486
North Dakota,"779,094","1,585",1 in 492,492
Iowa,"3,190,369","6,401",1 in 498,498
Kansas,"2,937,880","5,801",1 in 506,506
Delaware,"989,948","1,913",1 in 517,517
West Virginia,"1,793,716","3,313",1 in 541,541
Kentucky,"4,505,836","8,206",1 in 549,549
Ohio,"11,799,448","21,265",1 in 555,555
Missouri,"6,154,913","11,047",1 in 557,557
Montana,"1,084,225","1,865",1 in 581,581
California,"39,538,223","67,187",1 in 588,588
District of Columbia,"689,545","1,167",1 in 591,591
Maryland,"6,177,224","10,250",1 in 603,603
Wyoming,"576,851",918,1 in 628,628
North Carolina,"10,439,388","15,520",1 in 673,673
Wisconsin,"5,893,718","8,682",1 in 679,679
Virginia,"8,631,393","12,242",1 in 705,705
Idaho,"1,839,106","2,600",1 in 707,707
Minnesota,"5,706,494","8,063",1 in 708,708
Colorado,"5,773,714","7,349",1 in 786,786
Nebraska,"1,961,504","2,371",1 in 827,827
New Hampshire,"1,377,529","1,452",1 in 949,949
Washington,"7,705,281","7,145",1 in 1078,1078
Utah,"3,271,616","2,779",1 in 1177,1177
Oregon,"4,237,256","3,547",1 in 1195,1195
Maine,"1,362,359",979,1 in 1392,1392
Vermont,"643,077",283,1 in 2272,2272
